x,y,obs
138,216,24.38
142,220,12.19
142,220,8.23
142,220,9.14
141,221,0.61
139,236,21.34
139,238,3.35
139,260,9.14
139,261,4.57
140,289,15.24
140,289,15.24
140,298,12.19
141,309,6.1
140,318,1.52
138,325,2.74
142,337,1.16
141,334,3.05
138,336,9.75
139,342,0.61
142,346,21.6
142,347,25.85
142,346,20.69
142,347,25.75
138,350,20.61
142,349,28.41
140,347,9.54
142,345,13.69
140,111,13.11
139,147,24.69
143,180,18.29
142,217,24.58
141,268,18.29
139,313,6.77
142,326,13.11
143,344,21.34
141,340,7.32
142,340,1.22
143,348,34.43
139,349,14.01
140,119,3.05
142,126,7.92
142,138,1.52
140,154,0.81
142,159,16.76
141,177,7.62
141,180,1.07
144,213,5.79
143,218,12.19
144,219,21.34
144,219,21.97
143,218,7.32
144,219,19.2
144,234,6.4
143,270,9.14
143,269,6.1
143,276,1.52
141,309,2.44
143,310,4.5
143,321,10.67
143,325,1.28
141,326,8.53
140,336,9.95
144,342,9.91
141,343,8.43
143,343,12.66
140,344,15.28
144,348,29.51
140,346,9.53
140,348,18.06
141,347,26.31
143,349,26.52
142,138,2.74
142,156,12.09
141,163,15.24
145,166,5.49
143,171,14.63
143,170,21.03
142,182,3.05
141,220,32.0
141,225,10.67
142,270,4.57
141,305,6.1
145,311,2.48
141,319,1.52
142,317,19.35
145,323,0.91
142,322,9.14
142,326,12.95
145,342,11.92
143,342,6.83
145,342,13.68
142,343,7.43
145,344,23.77
144,345,24.99
144,342,10.67
145,340,2.74
145,349,1.49
144,142,6.1
144,175,1.01
143,182,12.19
144,214,9.14
145,211,4.57
143,224,6.1
142,232,41.15
142,256,12.17
143,289,19.81
146,311,6.1
142,311,12.19
144,322,6.4
142,326,13.72
143,333,0.61
145,341,7.01
145,342,14.7
145,340,2.26
146,367,14.05
144,133,13.11
143,134,5.79
146,140,51.82
143,140,4.88
144,143,5.18
145,143,0.0
145,145,8.53
147,160,4.57
145,163,18.29
145,214,12.19
145,214,13.72
145,219,21.34
144,219,19.51
144,234,4.88
144,234,4.88
146,263,4.57
146,271,15.24
147,301,12.19
147,309,1.83
146,305,12.19
144,312,15.24
144,312,15.24
146,321,12.19
145,327,12.19
147,331,8.84
146,340,6.1
146,346,36.73
147,348,1.87
143,350,21.85
146,141,35.05
147,156,12.19
146,157,3.05
144,205,0.91
147,217,6.1
147,223,30.48
146,223,21.03
148,230,18.29
145,234,14.02
144,250,21.89
148,251,4.78
147,266,7.62
146,271,16.76
145,285,30.48
147,295,16.37
147,300,8.2
146,311,8.23
146,311,6.68
146,311,10.67
148,319,7.62
148,339,7.65
147,339,11.97
145,341,6.4
144,342,10.94
147,346,27.49
145,349,18.29
148,123,0.61
146,141,35.05
147,165,3.32
147,165,2.44
148,177,27.13
147,211,7.92
145,219,18.29
145,261,12.19
146,304,30.48
146,311,10.67
146,311,5.93
146,321,12.19
147,321,4.05
148,332,7.92
146,331,13.26
149,342,16.54
148,342,28.48
147,344,25.46
149,356,13.41
148,365,17.98
148,365,16.31
148,125,2.74
149,130,3.35
149,130,3.66
147,145,19.51
150,156,7.32
146,208,7.62
147,211,16.76
149,216,10.67
146,215,22.86
149,219,1.22
148,230,18.29
148,235,6.71
149,270,7.22
150,283,1.27
149,283,6.1
147,300,9.14
148,304,4.48
148,304,5.82
150,313,9.14
150,318,18.68
150,342,15.34
147,341,15.03
149,344,19.16
148,343,20.33
147,347,18.22
148,348,9.17
147,349,15.85
147,144,29.26
148,145,6.1
150,164,16.87
150,164,14.63
147,209,10.06
150,217,35.88
151,220,9.75
151,232,10.67
148,251,6.71
147,266,6.49
150,279,18.29
149,288,51.82
148,308,3.05
147,307,24.99
148,308,3.7
149,319,1.52
149,322,9.69
150,322,6.1
148,324,16.46
148,331,6.4
151,339,14.02
147,339,12.16
151,342,23.26
149,347,3.42
151,354,6.75
152,133,6.1
148,146,48.77
152,157,8.53
150,160,39.01
151,161,13.72
152,181,20.42
149,216,10.67
150,218,15.24
152,219,7.92
151,233,7.62
148,230,18.29
151,233,8.14
152,268,12.19
152,283,9.14
148,283,12.19
152,298,15.24
148,304,7.62
151,306,6.71
151,308,12.19
151,319,3.66
148,319,0.33
151,341,13.44
152,339,10.26
150,340,8.63
149,133,9.14
149,137,5.49
151,138,1.83
153,145,9.14
153,145,20.73
152,152,51.82
153,163,18.29
153,167,4.57
153,212,54.86
152,233,10.67
153,280,23.71
153,298,15.24
152,301,12.19
153,299,18.29
151,311,24.38
152,306,4.88
151,319,6.1
151,320,9.04
149,333,9.14
152,331,11.34
153,340,19.04
151,343,25.3
152,341,21.17
152,346,5.62
152,354,21.28
151,365,8.15
153,132,21.34
153,150,48.77
153,153,24.08
154,154,45.72
152,156,35.66
150,160,41.22
150,164,15.24
153,205,18.29
151,215,1.59
154,217,37.8
153,226,15.85
154,253,29.6
154,288,40.36
153,292,3.94
150,331,8.53
150,331,7.55
154,342,14.63
151,342,23.25
154,351,1.34
154,358,4.88
154,106,3.66
152,114,5.15
152,153,16.46
154,155,6.1
154,165,66.14
154,167,3.66
153,214,25.21
151,215,1.52
154,217,34.14
153,218,13.72
155,224,18.29
152,233,17.37
152,233,9.45
155,261,7.62
154,278,4.57
151,305,6.1
152,327,6.71
153,330,9.45
151,335,8.53
151,335,20.73
151,335,11.42
154,362,12.19
151,365,9.82
156,106,14.63
155,107,5.49
154,111,3.66
153,122,2.74
156,143,6.01
154,151,36.58
154,152,54.86
153,163,12.19
154,167,4.72
152,214,19.93
152,214,21.34
153,217,21.34
154,218,9.14
154,217,30.48
154,226,3.05
152,227,10.36
152,233,24.38
153,268,9.38
154,277,1.12
154,279,9.14
153,298,10.67
153,304,18.29
154,316,11.63
152,331,10.97
153,339,9.14
153,346,13.72
156,360,1.54
156,365,7.47
156,366,1.37
155,107,7.92
154,111,7.32
153,121,4.57
154,133,7.32
157,132,4.27
157,135,7.62
155,153,30.48
155,152,20.73
154,167,4.57
155,217,7.62
157,233,4.79
154,249,19.51
154,249,23.37
153,253,2.04
155,261,12.19
155,266,13.72
155,269,13.72
157,271,36.58
153,276,6.21
155,283,7.62
153,282,10.45
157,321,30.48
154,322,8.31
156,331,3.97
153,343,12.31
156,340,17.8
155,344,2.95
153,342,24.78
156,359,7.01
156,358,4.88
155,360,25.6
158,145,6.1
155,197,32.83
156,215,41.15
157,216,13.72
155,225,3.05
156,231,2.12
156,239,6.1
156,243,14.69
155,255,3.79
158,278,7.62
154,279,9.1
157,291,15.67
155,289,10.67
155,295,12.37
155,295,10.67
158,298,12.19
156,302,9.14
155,332,9.88
157,339,9.21
156,340,40.79
158,341,2.44
156,359,8.33
154,365,3.05
158,143,12.8
159,169,1.83
157,188,11.16
157,213,24.38
155,218,3.05
157,231,6.1
156,239,8.23
155,244,7.47
157,252,9.14
159,266,9.14
158,274,16.89
155,285,9.14
157,289,18.29
158,288,4.92
157,294,4.57
156,316,1.38
155,332,14.09
159,329,5.76
155,332,10.68
159,336,17.07
155,358,10.97
155,360,24.38
158,365,4.27
159,109,1.22
157,132,9.15
158,134,8.84
156,138,36.58
159,135,4.57
159,145,2.33
159,144,12.19
159,157,16.76
157,188,7.62
159,216,9.14
160,216,2.44
160,224,11.58
160,230,12.19
160,230,9.14
158,232,5.18
156,239,9.14
156,243,15.01
156,247,7.62
160,261,15.7
159,257,12.82
158,266,23.34
159,265,18.29
160,273,18.29
158,278,7.62
159,291,9.14
157,310,9.14
156,310,12.19
160,324,14.37
160,331,9.92
160,338,14.43
160,338,14.61
157,350,12.8
160,359,12.74
156,358,5.06
159,360,2.13
158,365,4.11
157,363,3.05
156,366,0.61
158,368,4.27
159,109,1.83
157,132,4.51
158,134,10.67
158,134,5.2
159,145,2.74
159,144,4.61
159,156,28.53
158,160,24.38
157,189,3.63
161,200,6.1
159,216,10.67
160,216,3.05
161,229,12.19
160,229,18.29
160,232,3.66
161,240,3.78
161,267,15.24
158,279,6.1
161,286,30.48
158,279,5.78
160,282,7.62
157,293,27.43
158,306,24.18
161,324,14.71
159,335,10.68
160,336,15.54
159,337,19.15
160,100,2.44
158,109,3.05
158,134,4.57
158,141,73.77
158,144,24.99
160,159,4.57
160,214,39.62
160,214,39.62
159,216,12.19
159,216,8.23
162,223,6.71
159,232,4.88
159,232,4.66
161,246,5.18
159,293,6.1
159,293,4.57
161,296,19.81
161,304,15.03
161,326,4.22
158,335,9.36
162,336,13.16
159,336,18.72
160,339,9.87
161,338,11.55
161,337,29.87
158,339,10.17
161,342,7.17
158,348,7.32
162,357,3.47
162,56,9.14
160,54,15.24
159,98,19.39
163,119,1.52
161,130,5.49
163,137,7.19
162,136,21.95
162,156,10.67
163,155,41.45
162,156,11.58
159,189,5.49
163,216,17.37
159,235,15.24
163,237,12.44
160,253,11.05
160,255,15.66
160,261,18.29
161,261,12.19
162,281,27.43
163,281,5.97
159,306,4.57
159,313,18.29
162,315,10.67
160,313,22.31
162,325,9.14
159,325,8.61
160,329,11.37
160,334,9.55
159,335,10.67
159,339,11.18
159,339,11.01
159,343,14.36
159,340,5.75
163,358,5.18
160,54,14.94
164,57,11.89
161,96,12.19
164,102,3.66
160,100,0.3
164,132,6.04
163,137,5.79
162,137,4.08
163,137,8.23
163,159,14.33
160,224,10.97
162,221,0.0
160,227,50.29
161,233,0.91
163,229,19.81
163,243,16.08
162,243,2.58
163,243,16.5
163,243,12.19
163,252,25.3
164,253,12.19
161,263,13.66
162,272,1.52
161,290,7.98
164,294,6.13
160,309,7.62
161,317,13.31
162,315,10.67
160,329,11.54
160,331,9.27
160,334,7.34
160,334,7.7
162,337,14.11
160,343,14.63
164,358,4.57
164,102,3.66
165,133,23.32
164,134,32.92
162,148,37.8
163,148,7.71
164,155,20.73
162,155,15.54
162,156,10.67
164,165,11.61
162,166,6.1
162,216,4.57
161,216,6.1
162,217,3.05
162,223,7.22
165,227,33.53
164,230,8.53
164,235,13.72
163,239,4.73
165,242,4.57
164,279,13.69
163,307,7.32
162,326,8.86
163,336,17.52
165,335,14.53
164,338,4.07
164,349,13.72
164,358,3.99
162,109,7.01
164,127,7.62
164,137,19.81
162,136,29.57
164,138,47.24
165,138,37.49
163,148,5.03
166,148,7.01
164,157,3.05
164,165,9.14
165,209,7.21
165,209,6.1
163,224,21.34
162,222,4.27
165,240,7.78
163,239,4.51
163,245,5.37
166,247,1.75
164,253,13.72
164,253,12.19
162,256,17.98
163,261,7.62
163,265,8.5
162,282,15.24
165,278,12.19
164,286,2.13
165,290,59.44
165,288,13.06
165,288,11.58
165,296,10.67
163,300,24.38
164,305,4.57
165,301,15.24
166,308,4.98
162,316,8.11
162,316,8.98
166,319,22.52
166,328,4.86
162,334,5.53
166,335,14.33
165,340,7.32
164,350,5.33
166,354,3.35
165,50,23.77
164,49,13.99
167,68,4.36
166,90,9.45
166,107,6.71
166,107,9.14
164,127,5.49
163,137,16.15
166,236,12.5
163,242,0.81
164,242,6.7
166,249,65.93
163,256,29.92
164,265,1.52
165,286,9.14
165,303,10.67
166,308,6.25
167,312,7.62
166,313,5.79
165,324,7.5
164,327,9.71
166,328,5.02
165,327,8.89
164,335,11.34
167,351,0.0
163,353,7.29
164,364,6.25
166,47,2.19
166,59,2.77
165,58,6.4
167,69,12.96
164,103,6.1
167,127,6.1
166,150,7.62
167,221,2.44
164,232,0.3
166,242,3.05
165,254,4.94
165,254,6.1
166,261,2.74
165,296,9.77
167,293,14.63
165,303,13.72
168,313,0.91
168,318,20.85
168,326,7.69
167,328,4.62
167,335,13.44
166,334,17.79
168,358,10.67
166,47,2.44
168,45,3.26
169,50,8.53
166,59,2.99
166,59,2.13
169,131,7.32
165,142,56.75
168,152,4.57
166,150,6.71
166,157,3.05
169,167,4.48
169,221,10.06
166,231,2.08
165,237,3.84
165,237,3.35
165,262,4.57
169,276,10.97
165,288,15.24
168,293,9.14
167,298,4.57
165,312,21.34
165,324,6.3
165,327,8.76
165,327,9.65
168,326,7.62
166,336,12.21
165,337,10.27
167,356,0.85
169,355,9.14
167,367,3.06
166,368,4.6
169,47,3.96
169,49,6.89
166,55,2.44
166,55,4.27
166,55,3.29
169,62,0.91
167,68,7.62
169,131,9.14
169,131,7.3
166,148,14.63
166,155,12.19
169,229,14.2
168,233,1.22
169,235,28.47
170,237,45.72
170,241,12.19
170,261,15.24
169,276,9.14
166,293,28.88
166,308,11.12
166,318,18.29
166,323,13.72
167,324,5.58
170,335,7.62
168,335,10.44
167,334,15.68
167,335,13.72
168,341,9.75
170,345,35.05
166,352,11.31
169,366,6.4
169,48,1.95
168,51,0.3
171,62,4.88
168,67,4.72
171,91,1.52
171,111,7.62
169,121,12.5
168,130,15.24
168,155,18.7
170,156,3.05
169,161,10.67
170,163,1.65
171,216,25.69
170,236,35.2
169,238,15.24
170,251,6.1
169,252,0.61
167,252,30.48
170,261,9.14
170,261,14.63
167,281,12.19
167,282,13.72
167,279,3.78
168,293,12.19
170,298,18.29
171,301,6.57
171,303,32.0
169,305,12.19
171,310,15.24
168,317,27.29
167,328,4.76
167,334,17.37
168,336,7.92
171,348,3.66
167,349,5.49
169,356,3.96
167,367,3.05
168,370,5.49
167,368,7.6
171,58,10.06
170,109,6.71
170,109,3.05
171,111,10.97
169,121,3.66
168,124,7.62
172,127,7.32
172,127,4.88
172,127,4.57
172,145,20.73
170,163,2.47
172,201,16.41
170,235,14.02
169,235,30.48
168,238,8.63
168,238,9.14
171,245,16.6
168,252,25.91
170,250,15.78
171,256,15.24
169,269,20.46
169,283,3.91
172,293,9.46
172,293,16.98
170,302,10.12
170,302,11.31
171,310,12.09
170,326,1.25
168,332,6.23
169,334,11.06
168,338,4.88
170,351,6.71
170,351,5.49
169,356,3.67
170,356,6.1
168,367,15.24
172,371,3.53
170,372,6.56
169,52,0.0
169,63,1.68
172,82,9.02
171,118,37.49
173,125,4.57
172,129,12.19
173,125,8.53
171,144,34.44
172,145,24.08
169,152,14.02
170,156,4.88
172,228,4.57
171,240,13.41
170,242,18.29
169,241,2.68
169,245,1.49
173,255,7.62
172,263,21.95
169,276,8.67
173,295,9.14
170,302,9.14
169,305,13.04
173,323,1.44
171,321,10.02
171,328,8.1
172,327,10.27
170,334,15.0
172,355,1.84
172,361,3.06
171,367,6.37
170,371,1.54
172,55,10.36
172,64,2.74
173,84,4.27
170,97,1.83
172,113,2.74
173,125,7.62
173,125,6.1
174,123,4.27
172,129,13.72
173,145,8.23
172,145,12.19
173,145,10.67
173,145,9.1
174,183,10.67
173,202,6.71
174,230,1.7
174,229,3.05
173,227,18.3
174,230,2.16
171,235,5.06
170,241,7.92
174,247,6.1
170,245,4.57
174,250,10.67
171,256,15.24
171,278,13.72
174,291,9.11
173,295,11.95
172,302,41.15
174,301,32.0
174,303,4.03
174,307,7.62
170,317,8.23
171,322,8.21
173,322,3.05
174,323,0.0
170,323,20.16
172,327,9.14
172,329,5.5
174,333,10.32
172,337,3.05
174,347,12.02
170,348,6.4
170,351,3.65
173,357,12.19
170,361,4.62
173,43,0.08
172,113,5.49
173,125,7.32
173,125,7.01
171,158,13.72
174,166,19.81
175,175,24.38
172,228,6.11
175,246,2.13
175,246,2.44
173,262,15.86
174,286,12.19
175,294,25.91
175,295,6.1
172,301,26.64
171,306,26.82
175,311,4.35
173,330,2.17
171,338,9.14
171,369,2.66
172,373,2.26
174,374,1.22
172,42,7.62
172,66,12.8
173,84,6.1
172,113,2.44
173,130,4.27
176,141,14.33
176,156,0.61
175,174,50.29
176,201,3.87
172,228,7.62
176,229,1.52
176,230,6.1
174,242,14.92
176,241,0.67
173,244,27.31
174,247,6.1
173,254,45.72
173,261,13.86
175,283,10.2
175,283,13.04
174,286,13.6
172,289,24.95
174,291,15.24
174,295,7.71
174,299,23.41
172,303,21.31
174,299,24.38
176,316,4.35
172,327,9.18
175,366,4.66
174,373,2.13
176,32,9.75
174,111,17.68
177,117,3.96
177,119,18.9
177,133,11.89
177,133,5.18
177,133,5.49
175,141,24.38
175,145,31.09
176,143,25.6
177,151,24.38
176,158,3.96
175,170,0.91
175,172,11.06
175,175,27.05
173,184,8.37
177,230,1.83
174,229,6.1
176,230,4.88
175,249,1.52
174,260,5.84
174,261,10.52
174,263,9.83
174,288,12.19
177,290,9.14
175,287,2.29
176,293,17.25
176,294,8.53
173,302,18.29
177,308,9.78
173,321,5.76
174,330,8.03
174,346,10.06
176,366,4.07
176,365,3.05
176,379,12.67
176,378,4.12
174,37,3.66
174,42,2.16
174,44,6.4
174,134,10.97
178,142,12.19
175,145,28.65
177,154,3.66
176,158,6.1
175,173,6.1
176,174,0.91
178,212,12.5
178,230,1.52
176,230,3.89
176,230,3.05
175,236,1.52
175,235,0.0
174,247,7.62
176,261,1.22
175,262,17.01
175,283,10.67
174,282,6.54
174,287,9.14
174,288,12.19
175,291,14.05
174,292,23.77
178,315,6.35
178,347,7.62
177,347,4.75
174,365,2.13
177,369,1.59
178,369,0.97
175,378,4.43
177,35,7.92
175,44,0.0
176,50,16.46
176,92,9.14
176,132,2.13
178,140,1.83
176,144,5.47
177,199,13.72
175,230,3.05
179,239,3.96
179,246,11.89
175,250,18.29
179,255,18.71
175,285,14.43
176,291,10.76
177,297,27.43
175,295,4.88
175,295,3.96
176,295,4.57
179,298,11.89
176,325,19.38
177,327,9.4
179,333,5.18
179,347,3.05
179,347,5.49
175,353,16.15
176,367,6.22
176,369,10.23
176,378,4.09
179,379,9.91
177,34,1.52
178,53,4.57
177,62,10.67
177,63,5.49
180,97,4.27
179,109,21.95
178,121,24.38
178,141,3.05
177,142,15.24
176,172,16.76
176,175,4.88
180,177,18.29
178,184,7.32
176,236,7.92
179,237,29.17
178,243,24.99
178,246,6.1
178,246,5.43
176,254,0.91
176,254,0.12
180,267,16.74
177,272,0.46
177,290,10.67
176,325,19.81
176,336,28.35
177,347,4.27
176,352,11.28
177,357,4.53
179,364,8.17
176,365,3.26
179,365,5.24
176,369,11.09
179,379,9.2
177,379,7.62
176,379,12.19
179,378,5.18
177,35,6.1
181,54,18.29
177,62,10.67
179,106,7.32
177,119,14.94
179,212,1.83
180,231,3.85
179,232,3.57
181,240,17.89
178,246,11.63
179,299,3.96
179,298,9.14
181,311,6.87
177,314,12.3
178,318,3.05
177,326,9.81
178,325,17.68
181,344,5.49
179,347,6.1
180,346,8.23
179,364,10.67
180,365,3.05
178,367,17.25
180,370,3.98
181,371,5.9
179,378,5.65
179,62,16.76
182,116,3.96
178,121,21.03
180,120,10.67
179,156,12.19
179,156,13.72
180,189,12.19
178,229,7.99
178,233,5.79
178,240,8.08
181,247,17.25
182,279,9.12
178,285,6.1
179,287,12.19
178,300,7.86
181,335,3.05
182,344,1.52
182,344,4.27
182,344,3.05
182,358,13.11
182,361,4.57
180,365,3.05
179,364,9.14
178,366,6.71
180,377,4.25
179,378,4.83
180,46,33.53
182,48,4.88
182,136,15.24
180,228,9.14
180,227,2.44
180,231,10.78
180,241,11.95
181,238,22.25
180,264,9.27
181,311,6.71
180,309,4.99
183,306,12.93
183,346,5.49
183,348,21.64
183,349,12.1
182,357,2.44
183,370,3.66
180,371,3.05
179,379,12.19
181,379,9.3
180,47,9.75
180,48,1.83
182,62,22.25
180,134,2.44
180,140,35.36
181,145,4.27
183,160,7.53
183,160,5.49
180,182,27.43
180,212,15.74
181,230,15.15
184,230,12.25
181,239,0.83
181,244,0.48
180,241,9.14
181,247,17.37
182,244,7.65
182,306,15.24
184,334,12.19
184,335,8.53
182,337,25.91
183,346,3.66
180,345,23.53
184,349,18.9
182,349,6.71
183,356,3.66
181,358,7.62
182,358,13.41
180,365,2.74
182,361,4.27
180,366,16.76
180,370,3.96
180,375,2.13
182,379,6.71
180,378,6.1
181,45,1.22
185,59,2.13
181,145,9.14
185,160,3.05
185,162,27.43
183,243,4.28
181,263,9.14
182,314,1.22
183,332,30.48
183,339,16.46
183,334,15.24
185,342,32.0
183,342,2.13
181,344,9.14
185,343,24.08
183,356,3.66
183,360,5.18
182,368,29.46
183,370,3.66
182,62,14.63
183,86,3.35
182,135,9.14
185,143,4.57
184,143,6.1
182,171,24.38
182,177,3.53
183,189,4.27
182,229,0.48
183,238,14.87
182,244,9.05
185,257,1.83
184,270,19.33
186,281,9.14
182,296,15.24
184,298,3.37
183,304,18.29
185,305,22.75
186,309,6.1
184,309,1.53
185,317,7.62
184,332,27.74
184,336,6.14
183,341,10.67
185,347,19.81
185,348,18.29
184,354,4.57
184,361,9.14
186,364,9.45
184,360,6.71
183,362,18.34
184,361,9.14
183,369,9.32
183,372,5.04
183,373,10.06
183,373,10.97
183,377,3.96
184,381,10.67
187,46,6.28
184,46,10.67
187,60,10.81
186,61,6.1
183,76,0.94
185,88,8.23
184,116,5.49
184,116,1.52
185,143,6.1
183,144,14.33
184,158,36.58
183,176,46.58
186,230,11.28
183,279,12.59
184,308,8.84
185,315,3.6
187,319,8.23
187,336,12.19
186,346,19.81
185,356,2.74
187,361,10.67
187,371,15.24
183,372,4.57
183,374,14.63
183,374,15.24
185,379,2.44
184,44,0.91
186,65,28.68
188,66,12.19
187,100,12.19
187,121,6.4
187,123,7.01
185,134,12.19
184,135,22.86
184,136,0.91
185,143,4.4
184,143,21.34
186,150,42.67
188,161,3.66
187,222,6.1
188,225,5.22
188,225,5.18
184,228,2.44
188,240,5.97
187,260,12.19
186,295,1.8
184,317,6.1
186,331,19.81
187,333,17.37
184,335,9.14
184,338,16.04
186,341,21.7
186,338,7.92
187,346,10.36
186,350,2.13
188,360,2.44
186,363,15.24
188,373,5.49
186,373,14.02
185,376,10.36
189,37,7.62
185,134,2.74
185,142,1.83
185,143,3.05
188,158,13.72
188,160,35.05
187,226,28.42
185,230,2.89
186,235,7.62
187,236,8.99
187,259,10.67
186,266,11.13
187,272,6.68
187,340,6.1
187,340,11.28
188,351,3.96
186,355,3.96
189,357,0.91
186,355,4.27
186,354,24.99
186,362,17.07
185,366,21.34
187,369,3.96
187,368,9.75
187,374,3.05
189,373,1.52
189,59,21.64
186,61,6.1
189,88,10.67
188,103,0.61
189,120,5.49
187,123,7.92
189,126,2.13
186,125,5.49
190,129,17.37
186,134,6.1
190,140,35.97
190,148,42.67
186,164,12.19
188,225,8.53
186,229,19.66
186,229,21.95
186,238,22.07
189,238,6.08
188,241,19.48
188,263,24.38
189,305,3.84
190,307,7.62
189,330,6.1
186,333,20.42
187,334,24.38
189,336,4.57
188,341,30.48
190,349,8.53
186,351,6.71
186,360,23.47
186,362,17.37
187,362,7.92
186,364,12.8
187,369,4.57
190,371,2.13
188,374,11.89
186,375,7.62
187,371,15.54
188,38,5.49
189,54,19.15
190,61,9.14
187,81,2.44
188,102,3.35
188,103,1.22
188,103,1.83
191,108,9.14
189,111,24.38
189,120,7.92
191,136,24.99
191,140,9.14
191,148,4.57
190,159,6.1
190,160,2.44
187,226,27.43
190,233,20.42
188,237,13.61
188,235,3.65
187,257,10.84
188,259,3.05
191,272,12.19
188,310,5.49
187,320,14.72
187,322,44.2
187,333,16.76
191,336,11.58
188,347,4.27
189,347,7.32
187,352,7.62
187,354,6.1
188,360,3.05
190,375,17.68
189,54,12.19
191,52,3.05
190,61,6.71
191,108,3.66
189,120,5.79
192,141,0.91
190,162,54.86
191,223,3.66
188,225,8.31
192,234,1.89
192,235,30.48
192,240,10.14
189,254,17.68
191,272,12.19
190,276,2.41
191,283,9.14
188,320,22.61
188,322,16.76
188,331,15.24
189,333,9.14
191,333,4.57
190,341,19.2
189,343,13.72
190,349,9.14
189,359,6.1
189,359,16.46
189,366,5.18
190,371,2.74
189,370,14.02
188,374,9.88
189,61,3.96
190,61,5.18
190,61,4.88
191,67,6.71
191,94,6.1
191,96,6.1
192,99,6.1
193,112,3.05
189,114,12.19
192,129,2.44
192,149,13.72
192,151,28.96
190,170,6.1
193,229,44.2
193,231,25.0
189,233,12.16
189,240,2.81
191,275,9.3
190,307,7.62
189,314,4.56
193,327,9.14
189,332,7.32
191,335,18.29
190,341,22.56
190,339,14.94
193,344,11.89
190,358,4.57
189,359,7.42
192,361,2.74
192,361,1.52
192,368,12.8
193,370,6.1
190,375,12.19
190,372,1.52
190,65,5.79
191,86,0.91
191,107,27.43
193,111,10.67
192,150,21.34
190,151,25.91
193,178,15.24
190,215,3.05
192,229,3.05
192,229,4.58
192,234,1.52
194,233,25.81
190,237,9.63
194,242,20.08
193,317,5.15
193,319,15.24
191,325,3.05
190,340,13.72
192,338,9.75
190,358,15.54
191,364,8.53
192,368,13.11
192,369,9.14
191,372,11.58
192,111,19.2
192,120,36.58
192,164,8.53
192,170,3.62
192,170,5.68
194,221,7.32
193,225,3.96
191,226,24.48
194,232,14.72
194,229,42.4
192,234,1.88
193,260,26.27
193,301,4.47
193,318,4.36
193,319,18.29
194,327,13.72
194,327,13.72
192,338,7.62
195,345,13.72
194,349,3.96
193,351,17.98
195,355,9.45
194,367,10.67
192,87,1.22
195,120,6.1
194,131,23.77
195,230,12.19
196,229,9.65
192,234,2.83
192,234,0.91
194,271,10.95
194,276,3.26
194,277,11.58
194,283,12.19
195,313,18.29
195,328,6.1
192,335,7.81
192,335,7.01
193,348,5.49
194,349,3.96
194,352,1.52
194,352,1.52
194,361,11.89
192,369,10.06
196,373,12.19
196,373,15.24
195,54,5.18
193,59,3.05
193,69,7.92
193,111,15.85
194,139,25.6
197,223,3.89
196,229,5.49
195,230,14.21
196,231,15.93
193,261,30.72
195,282,10.67
194,306,13.81
195,313,14.02
193,318,4.57
193,324,6.1
194,327,16.54
195,326,42.67
197,353,9.75
196,362,24.44
193,367,3.66
194,373,3.05
198,54,8.53
196,63,3.12
194,67,22.56
195,111,8.23
198,114,26.52
195,120,4.57
194,132,30.48
198,153,27.43
198,208,7.62
198,274,9.93
195,282,10.67
195,307,5.49
197,308,1.22
198,313,2.74
196,314,2.44
194,317,6.69
195,318,22.86
197,325,10.06
194,326,9.14
194,327,16.76
195,332,4.15
198,334,5.49
195,340,16.15
194,367,10.36
197,366,9.75
195,374,15.85
195,372,11.58
197,62,7.5
198,120,19.51
195,132,19.51
198,134,42.67
199,155,12.19
197,177,45.72
199,205,5.18
198,223,10.77
196,229,8.21
196,230,5.49
195,230,15.24
197,271,16.84
197,272,10.67
195,282,12.19
195,307,6.52
195,307,7.57
197,320,28.35
196,323,45.72
197,325,9.14
198,324,13.72
197,324,21.34
197,338,8.53
199,355,9.45
196,365,7.32
197,366,13.72
198,372,18.9
196,375,22.25
195,373,7.37
199,51,2.13
198,54,8.53
200,75,9.14
197,91,11.58
196,142,24.78
198,157,17.13
200,165,2.13
199,176,1.52
196,213,14.02
198,223,7.62
197,229,1.36
200,230,6.54
196,231,30.38
197,271,18.29
200,273,10.67
199,291,9.75
197,303,8.53
197,303,6.63
200,305,4.67
200,310,3.89
199,311,12.19
198,319,5.49
198,329,5.55
196,331,8.17
199,334,8.6
199,350,5.18
199,364,7.92
199,364,7.92
198,363,3.66
197,366,17.59
197,366,13.72
198,29,3.05
201,73,18.29
198,109,4.91
199,153,45.72
201,212,11.58
201,232,10.36
200,273,13.72
201,287,11.24
201,301,5.88
199,310,21.21
201,317,26.88
199,334,7.7
199,341,33.53
198,340,26.19
197,344,12.19
197,343,19.2
197,346,11.58
199,356,7.92
200,368,5.49
200,373,11.63
198,109,4.27
200,108,16.15
198,223,8.96
201,220,4.58
202,225,6.1
198,228,2.13
200,268,10.67
200,294,3.62
202,305,6.1
200,307,7.66
202,313,2.29
199,309,29.56
201,317,17.07
199,318,1.52
198,323,15.24
198,325,8.23
200,334,21.21
198,339,13.41
198,343,17.74
200,350,1.83
202,347,6.1
199,372,17.98
200,100,20.83
200,141,16.76
199,145,30.48
200,225,14.63
200,225,15.29
202,231,10.86
203,260,10.11
200,268,12.19
202,298,10.67
201,305,16.76
199,309,39.62
202,333,5.27
200,334,18.9
202,347,6.1
200,350,1.83
