x,y,obs
60,346,42.26
60,346,27.72
60,346,23.07
61,373,24.38
62,374,10.39
64,387,33.22
65,126,5.79
64,182,6.28
62,311,11.28
63,314,2.79
62,334,20.34
63,337,54.71
63,337,29.63
65,342,28.56
65,342,18.17
61,352,17.32
62,375,6.14
66,180,18.29
65,197,69.49
64,280,12.71
65,292,10.21
65,303,78.55
63,304,24.44
62,304,11.01
62,306,20.6
63,310,15.31
66,325,13.4
63,325,6.85
63,325,5.49
64,330,28.04
63,333,36.39
63,333,39.01
62,335,34.75
66,340,21.4
66,340,12.64
66,353,51.77
63,361,9.14
65,374,0.78
66,371,23.16
66,376,15.24
65,379,0.0
62,385,6.1
62,389,2.68
65,177,22.86
64,182,6.1
66,297,5.85
65,309,1.95
67,319,8.73
63,325,7.86
67,334,19.21
67,338,10.42
67,338,6.11
66,341,7.4
67,348,12.51
67,348,20.01
63,366,4.57
66,372,7.62
66,372,6.1
65,376,18.29
66,381,6.1
64,387,28.13
67,97,1.22
64,129,2.74
67,221,14.94
67,221,19.43
64,222,21.34
64,279,13.41
64,279,14.94
66,291,46.33
64,291,41.15
67,306,33.4
65,309,2.65
65,309,4.7
68,317,15.38
67,322,12.52
68,335,55.77
66,331,76.2
66,369,3.05
65,370,15.24
67,378,0.72
67,374,15.24
65,381,3.05
65,382,0.3
67,97,2.44
69,163,33.53
67,221,10.97
66,227,15.51
68,272,25.91
65,280,3.35
69,301,4.99
66,304,50.69
67,306,33.83
65,309,2.14
66,312,2.83
68,317,12.67
66,322,7.01
66,329,37.8
66,329,44.81
67,356,16.76
69,364,9.14
65,363,1.52
65,376,21.28
65,381,3.05
69,378,17.71
65,381,3.05
68,141,0.91
68,142,6.1
67,218,6.1
68,289,9.75
69,293,2.74
67,296,2.93
66,297,10.49
69,306,17.34
69,306,15.25
67,315,56.76
68,314,11.43
68,316,6.81
68,314,7.82
67,322,12.16
68,325,32.89
69,329,12.28
70,329,17.25
68,344,14.94
70,367,6.71
71,163,12.19
67,216,1.83
67,290,1.86
