,i_index,j_index,obs,PF
4829,237,-331,9.82,0.5956919058562863
4830,241,-338,7.89,14.012785311388736
4831,241,-346,16.08,0.7933934869565359
4832,240,-363,14.23,0.43570665965035155
4833,240,-358,5.18,15.268185509467726
4834,241,-364,15.24,0.41690344711508187
4835,238,-85,3.05,32.99742431198885
4836,238,-131,30.69,83.99753714578833
4837,238,-132,20.76,61.50932564744463
4838,238,-139,30.48,12.443678893563272
4839,238,-149,19.34,52.38395993178584
4840,239,-159,24.38,24.936763221554234
4841,238,-155,48.77,57.119165185736655
4842,239,-157,15.24,39.55887958207633
4843,240,-160,1.83,40.543799848304886
4844,240,-172,45.72,74.5073350678562
4845,240,-234,12.19,0.05011129880533785
4846,242,-273,2.44,0.5474108588258485
4847,238,-275,10.97,15.115356549287945
4848,239,-274,16.76,0.595153643416686
4849,238,-276,0.61,0.6064273878213643
4850,238,-284,11.58,0.17514413095026005
4851,238,-284,12.19,0.17514413095026005
4852,240,-288,3.05,17.33903768047461
4853,241,-296,18.29,13.037320187506266
4854,242,-295,11.58,0.68887765429098
4855,240,-298,13.72,21.272974415714987
4856,241,-303,33.83,19.356983812568128
4857,242,-309,24.69,27.273575741156954
4858,240,-308,10.06,13.131719456995672
4859,238,-308,4.57,0.2889724560366042
4860,240,-315,13.28,30.376599049400948
4861,240,-323,3.19,0.5396848305258866
4862,239,-326,9.02,7.235062867324168
4863,238,-335,4.65,0.5012013479947934
4864,238,-335,3.35,0.5012013479947934
4865,241,-336,9.09,0.17475370475757743
4866,239,-345,24.18,13.310928132014094
4867,239,-362,11.58,0.4286560827421008
4868,241,-12,12.5,0.4684045131332442
4869,239,-85,0.0,58.477944594461256
4870,242,-125,18.29,29.468716757361314
4871,241,-151,24.38,39.25102193349749
4872,239,-161,37.12,26.389395976253045
4873,240,-160,12.19,40.543799848304886
4874,240,-160,3.05,40.543799848304886
4875,241,-162,44.2,44.918563705464834
4876,241,-161,30.48,65.5552567360547
4877,242,-215,18.29,0.3479602705118412
4878,240,-234,10.67,0.05011129880533785
4879,242,-262,8.84,103.19441222420787
4880,243,-280,7.01,0.04416064586413782
4881,243,-284,16.46,0.12664366899697607
4882,240,-280,0.61,0.3994447752476858
4883,241,-288,4.65,24.062269600225264
4884,243,-295,5.49,0.8081803864111529
4885,243,-300,6.1,0.5175334954277343
4886,243,-294,12.19,0.13969070242088694
4887,239,-300,4.57,0.7284790829425888
4888,241,-309,11.89,23.041737277643147
4889,240,-307,11.37,25.45719999365243
4890,243,-310,5.49,7.726837402856619
4891,243,-310,1.83,7.726837402856619
4892,243,-308,13.72,30.032088261520805
4893,243,-311,5.49,0.298663352879455
4894,240,-316,3.05,14.358313396934069
4895,241,-313,9.68,8.841252963916828
4896,241,-314,8.05,9.43458515462932
4897,242,-323,14.11,0.8527895276723163
4898,242,-324,14.91,13.735749080461037
4899,240,-324,8.38,0.8973292477904622
4900,241,-327,3.75,10.359165002339983
4901,242,-331,6.99,0.6479094522067887
4902,241,-337,16.67,5.675243539550465
4903,242,-341,5.31,6.446647065858945
4904,242,-345,10.69,0.45131104114754605
4905,242,-356,8.14,39.35451950221636
4906,241,-369,6.61,14.740027181520858
4907,242,-373,22.56,13.50104852903151
4908,240,-32,5.79,18.638177041049126
4909,242,-74,12.19,56.4351609898518
4910,244,-93,1.22,48.712830291491734
4911,240,-122,48.77,0.09747892505007577
4912,242,-163,58.52,79.32476764248842
4913,243,-178,2.44,0.13580123432293675
4914,244,-215,15.24,33.05797673751309
4915,244,-225,7.62,52.32712473462095
4916,244,-238,12.19,29.602020930400304
4917,240,-243,6.1,25.6302874663947
4918,243,-251,19.2,0.560619259545178
4919,243,-273,3.05,13.32355987478723
4920,241,-284,9.75,18.2868688887077
4921,241,-282,1.52,0.09901269932117006
4922,241,-288,4.27,24.062269600225264
4923,242,-289,13.72,17.693940739338213
4924,243,-290,15.24,49.112211437510766
4925,240,-290,7.92,4.961030971534146
4926,243,-299,1.83,0.4150159626410317
4927,240,-301,22.56,0.5771520396349363
4928,243,-299,2.74,0.4150159626410317
4929,243,-301,9.14,12.632138063539196
4930,243,-309,6.1,14.143167814088772
4931,243,-307,30.17,56.80528967735751
4932,240,-313,24.25,0.7878336945181791
4933,241,-313,9.14,8.841252963916828
4934,243,-316,1.22,0.1636716185351439
4935,241,-314,7.49,9.43458515462932
4936,243,-338,9.67,13.217348856778692
4937,243,-338,9.66,13.217348856778692
4938,243,-346,13.48,1.397659052738661
4939,244,-346,15.76,14.606278356976693
4940,243,-366,12.5,0.3119790837505293
4941,241,-375,6.1,17.013197100090522
4942,242,-49,4.57,18.077786510907323
4943,241,-85,1.22,48.60370257590975
4944,245,-100,6.1,12.61294400174611
4945,242,-152,11.13,50.68746737017184
4946,244,-160,67.36,94.86274642700157
4947,242,-216,10.67,6.041734200559017
4948,243,-218,19.81,0.05000168166895627
4949,244,-238,17.3,29.602020930400304
4950,245,-282,12.5,15.438880616589696
4951,244,-290,11.58,40.182846437152676
4952,241,-296,19.2,13.037320187506266
4953,243,-299,1.83,0.4150159626410317
4954,242,-301,12.8,0.6496856171130748
4955,245,-297,2.13,0.23491406242581434
4956,242,-301,14.86,0.6496856171130748
4957,244,-309,12.19,13.850545177003251
4958,242,-312,2.44,0.3518542366770227
4959,245,-313,3.05,15.619466924329942
4960,242,-322,8.33,0.6867088758454255
4961,242,-331,8.11,0.6479094522067887
4962,242,-331,9.14,0.6479094522067887
4963,241,-338,8.55,14.012785311388736
4964,242,-346,20.06,0.8214781574646236
4965,243,-339,4.55,11.858524653527027
4966,241,-344,6.04,2.502452471257535
4967,241,-375,3.47,17.013197100090522
4968,246,-73,3.05,0.06244619897199138
4969,246,-73,4.57,0.06244619897199138
4970,243,-77,2.44,0.1461620358857463
4971,244,-77,3.96,16.503459148381467
4972,243,-85,0.61,62.24002601918038
4973,246,-97,1.22,72.25859462397206
4974,243,-98,15.24,97.29611130523911
4975,246,-100,4.57,53.860400950414515
4976,244,-107,3.05,36.18336022336672
4977,245,-145,14.81,35.544034128423455
4978,242,-152,18.29,50.68746737017184
4979,242,-152,9.14,50.68746737017184
4980,242,-152,21.34,50.68746737017184
4981,246,-155,3.05,87.65857372699186
4982,246,-163,1.52,20.977259620538632
4983,246,-163,7.32,20.977259620538632
4984,244,-216,6.1,17.806675877029573
4985,244,-225,12.19,52.32712473462095
4986,243,-265,2.44,0.19377120023485436
4987,243,-265,2.13,0.19377120023485436
