,x_loc,y_loc
318,20.0,154.0
319,20.0,154.0
320,20.0,154.0
321,20.0,154.0
322,20.0,154.0
323,20.0,154.0
324,20.0,154.0
325,20.0,154.0
326,20.0,154.0
327,20.0,154.0
328,20.0,155.0
329,20.0,155.0
330,19.0,155.0
331,19.0,155.0
332,19.0,155.0
333,19.0,155.0
334,19.0,155.0
335,19.0,155.0
336,19.0,155.0
337,19.0,155.0
338,19.0,155.0
339,19.0,156.0
340,19.0,156.0
341,19.0,156.0
342,19.0,156.0
343,19.0,156.0
344,19.0,156.0
345,19.0,156.0
346,19.0,156.0
347,19.0,156.0
348,19.0,156.0
349,19.0,156.0
350,19.0,157.0
351,19.0,157.0
352,19.0,157.0
353,19.0,157.0
354,19.0,157.0
355,19.0,157.0
356,19.0,157.0
357,19.0,157.0
358,19.0,157.0
359,19.0,157.0
360,19.0,157.0
361,19.0,158.0
362,19.0,158.0
363,19.0,158.0
364,19.0,158.0
365,19.0,158.0
366,19.0,158.0
367,19.0,158.0
368,19.0,158.0
369,19.0,158.0
370,19.0,158.0
371,19.0,158.0
372,19.0,159.0
373,19.0,159.0
374,19.0,159.0
375,19.0,159.0
376,19.0,159.0
377,19.0,159.0
378,19.0,159.0
379,19.0,159.0
380,18.0,159.0
381,18.0,159.0
382,18.0,159.0
383,18.0,160.0
384,18.0,160.0
385,18.0,160.0
386,18.0,160.0
387,18.0,160.0
388,18.0,160.0
389,18.0,160.0
390,18.0,160.0
391,18.0,160.0
392,18.0,160.0
393,18.0,160.0
394,18.0,161.0
395,18.0,161.0
396,18.0,161.0
397,18.0,161.0
398,18.0,161.0
399,18.0,161.0
400,18.0,161.0
401,18.0,161.0
402,18.0,161.0
403,18.0,161.0
404,18.0,161.0
405,18.0,162.0
406,18.0,162.0
407,18.0,162.0
408,18.0,162.0
409,18.0,162.0
410,18.0,162.0
411,18.0,162.0
412,18.0,162.0
413,18.0,162.0
414,18.0,162.0
415,18.0,162.0
416,25.0,124.0
417,25.0,124.0
418,25.0,124.0
419,25.0,125.0
420,25.0,125.0
421,25.0,125.0
422,25.0,125.0
423,25.0,125.0
424,25.0,125.0
425,25.0,125.0
426,25.0,125.0
427,25.0,125.0
428,25.0,125.0
429,25.0,126.0
430,25.0,126.0
431,25.0,126.0
432,25.0,126.0
433,25.0,126.0
434,25.0,126.0
435,25.0,126.0
436,25.0,126.0
437,25.0,126.0
438,25.0,126.0
439,25.0,126.0
440,25.0,127.0
441,25.0,127.0
442,25.0,127.0
443,25.0,127.0
444,25.0,127.0
445,25.0,127.0
446,25.0,127.0
447,25.0,127.0
448,25.0,127.0
449,25.0,127.0
450,25.0,127.0
451,25.0,128.0
452,25.0,128.0
453,25.0,128.0
454,25.0,128.0
455,25.0,128.0
456,25.0,128.0
457,25.0,128.0
458,25.0,128.0
459,25.0,128.0
460,25.0,128.0
461,25.0,128.0
462,25.0,129.0
463,25.0,129.0
464,25.0,129.0
465,25.0,129.0
466,25.0,129.0
467,25.0,129.0
468,25.0,129.0
469,25.0,129.0
470,25.0,129.0
471,25.0,129.0
472,25.0,130.0
473,25.0,130.0
474,24.0,130.0
475,24.0,130.0
476,24.0,130.0
477,24.0,130.0
478,24.0,130.0
479,24.0,130.0
480,24.0,130.0
481,24.0,130.0
482,24.0,130.0
483,24.0,131.0
484,24.0,131.0
485,24.0,131.0
486,24.0,131.0
487,24.0,131.0
488,24.0,131.0
489,24.0,131.0
490,24.0,131.0
491,24.0,131.0
492,24.0,131.0
493,24.0,131.0
494,24.0,132.0
495,24.0,132.0
496,24.0,132.0
497,24.0,132.0
498,24.0,132.0
499,24.0,132.0
500,24.0,132.0
501,24.0,132.0
502,24.0,132.0
503,24.0,132.0
504,24.0,132.0
505,24.0,133.0
506,24.0,133.0
507,24.0,133.0
508,24.0,133.0
509,24.0,133.0
510,24.0,133.0
511,24.0,133.0
512,24.0,133.0
513,24.0,133.0
514,24.0,133.0
515,24.0,134.0
516,24.0,134.0
517,24.0,134.0
518,24.0,134.0
519,24.0,134.0
520,24.0,134.0
521,24.0,134.0
522,24.0,134.0
523,24.0,134.0
524,24.0,134.0
525,24.0,134.0
526,24.0,135.0
527,24.0,135.0
528,24.0,135.0
529,24.0,135.0
530,24.0,135.0
531,24.0,135.0
532,24.0,135.0
533,23.0,135.0
534,23.0,135.0
535,23.0,135.0
536,23.0,135.0
537,23.0,136.0
538,23.0,136.0
539,23.0,136.0
540,23.0,136.0
541,23.0,136.0
542,23.0,136.0
543,23.0,136.0
544,23.0,136.0
545,23.0,136.0
546,23.0,136.0
547,23.0,136.0
548,23.0,137.0
549,23.0,137.0
550,23.0,137.0
551,23.0,137.0
552,23.0,137.0
553,23.0,137.0
554,23.0,137.0
555,23.0,137.0
